client_code,product,push_notification
1,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Айгерим, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
2,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Данияр, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
3,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Сабина, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
4,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Тимур, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
5,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Камилла, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
6,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Аян, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
7,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Руслан, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
8,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Мадина, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
9,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Арман, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
10,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Карина, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
11,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Бауржан, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
12,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Жанар, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
13,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Алина, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
14,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Диас, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
15,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Нурия, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
16,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Ерасыл, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
17,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Жанель, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
18,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Санжар, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
19,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Азамат, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
20,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Анель, подобрали для вас выгодный вариант — рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Оформить сейчас?"
21,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Павел, персональное предложение: рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№ с преимуществами для вас. Узнать больше?"
22,РљР°СЂС‚Р° РґР»СЏ РїСѓС‚РµС€РµСЃС‚РІРёР№,"Аружан, у нас есть специальное предложение по рљр°сђс‚р° рґр»сџ рїсѓс‚рµс€рµсѓс‚рірёр№. Посмотреть детали?"
